# id	left	top	right	bottom	texture_id
[SPRITES]
################  BIG ################
#IDLE
1	216	243	231	270	1
11	176	243	193	270	1

#WALKING RIGHT
101	255	243	272	270	1
102	295	243	312	270	1

#WALKING LEFT
111	135	243	152	270	1
112	95	243	112	270	1

#RUNNING RIGHT
201	213	323	232	350	1
202	253	323	272	350	1
203	293	323	312	350	1

#RUNNING LEFT
211	174	323	193	350	1
212	134	323	153	350	1
213	94	323	113	350	1

#JUMP WALK RIGHT & LEFT
301	335	244	352	271	1
311	55	244	72	271	1

#JUMP RUN RIGHT & LEFT
401	333	364	352	391	1
411	54	364	73	391	1

#SIT RIGHT & LEFT 
501	376	248	391	267	1
511	16	248	31	267	1

#BRACE RIGHT & LEFT 
601	215	283	232	312	1
611	175	283	192	312	1

#TAIL UP
801	527	20	544	47	20
802	546	22	559	35	20

#KICK RIGHT & LEFT
901	252	283	273	310	1
902	133	283	154	310	1

#DIE
4001	375	209	392	226	1




################ SMALL ################
#IDLE
2001	217	89	230	104	1
2011	177	89	190	104	1

#WALK RIGHT
2101	256	89	271	106	1

#WALK LEFT
2111	135	89	150	106	1

#RUN RIGHT
2201	215	169	232	186	1
2202	255	169	272	186	1

#RUN LEFT
2211	175	169	192	186	1
2212	135	169	152	186	1

#BRACE RIGHT & LEFT
2301	216	129	231	146	1
2311	176	129	191	146	1

#JUMP WALK RIGHT & LEFT
2401	335	89	352	106	1
2411	55	89	72	106	1

#JUMP RUN RIGHT & LEFT 
2501	215	209	232	226	1
2511	175	209	192	226	1

#POWER UP RIGHT & LEFT
2601	216	243	231	280	1
2611	176	243	193	280	1

#KICK RIGHT & LEFT
2701	255	129	270	144	1
2702	135	129	150	144	1

################ RACOON ################
#IDLE
6001	212	443	233	472	1
6011	173	443	194	472	1

#WALKING RIGHT
6101	236	443	259	472	1
6102	262	443	285	472	1
6103	291	443	314	472	1

#WALKING LEFT
6111	147	443	170	472	1
6112	122	443	145	472	1
6113	92	443	115	472	1

#RUNNING RIGHT
6201	211	523	236	552	1
6202	251	523	276	552	1
6203	291	523	316	552	1

#RUNNING LEFT
6211	171	523	196	552	1
6212	131	523	156	552	1
6213	91	523	116	552	1

#JUMP WALK RIGHT & LEFT
6301	331	443	354	470	1
6311	52	443	75	470	1

#JUMP RUN RIGHT & LEFT
6401	331	603	356	630	1
6411	51	603	76	630	1

#SIT RIGHT & LEFT 
6501	372	448	395	467	1
6511	12	448	35	467	1

#BRACE RIGHT & LEFT 
6611	215	482	232	513	1
6601	175	482	192	513	1

#MULTIJUMP RIGHT
6701	331	603	356	630	1
6702	371	603	396	630	1
6703	291	603	316	630	1

#MULTIJUMP LEFT
6711	51	603	76	630	1
6712	11	603	36	630	1
6713	91	603	116	630	1

#HOVER RIGHT
6901	210	603	235	632	1
6902	250	603	275	632	1

#HOVER LEFT
6911	172	603	195	632	1
6912	132	603	155	632	1

#TAIL WHIP RIGHT
7001	236	443	259	472	1
7002	355	483	372	512	1
7003	147	443	170	472	1
7004	390	483	407	512	1

#TAIL WHIP LEFT
7011	147	443	170	472	1
7012	355	483	372	512	1
7013	236	443	259	472	1
7014	390	483	407	512	1

#KICK RIGHT & LEFT
7101	247	483	268	510	1
7102	137	483	158	510	1

#INVISIBLE
8001	0	0	0	0	0


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
################ BIG ################
#IDLE
0	1	100
10	11	100

#WALKING RIGHT & LEFT 
100	1	75	101	75	102	75
110	11	75	111	75	112	75

#RUNNING RIGHT & LEFT
200	201	25	202	25	203	25
210	211	25	212	25	213	25

#JUMP WALK
300	301	100
310	311	100

#JUMP RUN
400	401	100
410	411	100

#SIT RIGHT & LEFT 
500	501	100
510	511	100

#BRACE RIGHT & LEFT 
600	601	100
610	611	100

#HALF RUN ACCEL RIGHT & LEFT 
700	1	25	101	25	102	25
710	11	25	111	25	112	25

#TAIL UP
800	801	200	802	200

#POWER DOWN RIGHT & LEFT
900	2001	100	2601	100	8001	200
910	2011	100	2611	100	8001	200

#KICK RIGHT & LEFT
1000	901	100
1001	902	100

#DIE
4000	4001	100

################ SMALL ################
#IDLE
2000	2001	100
2010	2011	100

#WALK RIGHT & LEFT
2100	2001	75	2101	75
2110	2011	75	2111	75

#RUN RIGHT & LEFT
2200	2201	25	2202	25
2210	2211	25	2212	25

#BRACE RIGHT & LEFT
2300	2301	100
2310	2311	100

#JUMP WALK
2400	2401	100
2410	2411	100

#JUMP RUN 
2500	2501	100
2510	2511	100

#POWER UP RIGHT & LEFT
2600	2001	100	2601	100
2610	2011	100	2611	100

#HALF RUN ACCEL RIGHT & LEFT 
2700	2001	25	2101	25
2710	2011	25	2111	25

#KICK RIGHT & LEFT
2800	2701	100
2801	2702	100

################ RACOON ################
#IDLE
6000	6001	100
6010	6011	100

#WALKING RIGHT & LEFT 
6100	6001	75	6101	75	6102	75	6103	75
6110	6011	75	6111	75	6112	75	6113	75

#RUNNING RIGHT & LEFT
6200	6201	25	6202	25	6203	25
6210	6211	25	6212	25	6213	25

#JUMP WALK
6300	6301	100
6310	6311	100

#JUMP RUN
6400	6401	100
6410	6411	100

#SIT RIGHT & LEFT 
6500	6501	100
6510	6511	100

#BRACE RIGHT & LEFT 
6600	6601	50
6610	6611	50

#MULTIJUMP RIGHT & LEFT
6700	6701	100	6702	100	6703	100
6710	6711	100	6712	100	6713	100

#HALF RUN ACCEL RIGHT & LEFT 
6800	6001	25	6101	25	6102	25
6810	6011	25	6111	25	6112	25

#HOVER RIGHT & LEFT
6900	6901	100	6902	100
6910	6911	100	6912	100

#TAIL WHIP RIGHT & LEFT
7000	7001	100	7002	50	7003	100	7004	50	7001	100
7010	7011	100	7012	50	7013	100	7014	50	7011	100

#KICK RIGHT & LEFT
7100	7101	100
7101	7102	100

#TAIL DOWN
7900	801	200	802	200



